CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
701035733,12/22/2016,01:00:00,,,01/05/2017,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,20,FRONT OF,STREET,,,989408,223070,40.778958614,-73.98137731,"(40.778958614, -73.98137731)"
275500618,12/22/2016,09:48:00,,,01/04/2017,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",ATTEMPTED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,RESIDENCE - APT. HOUSE,,,,,,,
749903821,12/22/2016,14:00:00,01/03/2017,09:00:00,01/04/2017,109,GRAND LARCENY,438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,14,INSIDE,COMMERCIAL BUILDING,,,988774,211352,40.746796062,-73.983674396,"(40.746796062, -73.983674396)"
144980437,12/22/2016,12:39:00,,,01/04/2017,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",ATTEMPTED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,23,INSIDE,RESIDENCE - PUBLIC HOUSING,,JOHNSON,,,,,
270292524,12/22/2016,11:12:00,,,01/04/2017,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",ATTEMPTED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE-HOUSE,,,,,,,
451718903,12/22/2016,10:14:00,12/22/2016,10:15:00,01/04/2017,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,,,,,,,
888132664,12/22/2016,08:00:00,01/04/2017,14:50:00,01/04/2017,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,RESIDENCE - APT. HOUSE,,,1000745,232476,40.804761662,-73.940419382,"(40.804761662, -73.940419382)"
963573226,12/22/2016,04:56:00,,,01/04/2017,233,SEX CRIMES,681,"CHILD, ENDANGERING WELFARE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,26,INSIDE,RESIDENCE - APT. HOUSE,,,,,,,
574440008,12/22/2016,23:56:00,12/23/2016,02:56:00,01/03/2017,107,BURGLARY,213,"BURGLARY,COMMERCIAL,NIGHT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,6,INSIDE,COMMERCIAL BUILDING,,,986291,206049,40.732241562,-73.992637117,"(40.732241562, -73.992637117)"
760167708,12/22/2016,14:00:00,12/22/2016,14:30:00,01/03/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,1,INSIDE,PUBLIC SCHOOL,,,980548,196293,40.705463143,-74.013353629,"(40.705463143, -74.013353629)"
713361281,12/22/2016,09:00:00,01/03/2017,05:00:00,01/03/2017,109,GRAND LARCENY,424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,1003522,249040,40.850219489,-73.930340925,"(40.850219489, -73.930340925)"
249077583,12/22/2016,00:01:00,12/23/2016,23:59:00,01/03/2017,109,GRAND LARCENY,401,"LARCENY,GRAND BY ACQUIRING LOS",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,998312,236106,40.814729212,-73.949200086,"(40.814729212, -73.949200086)"
